 5.00000323e+00  6.92473687e+00  5.00000323e+00  1.08836021e+01 
 5.00000768e+00  6.92535674e+00  5.00000768e+00  1.08913589e+01 
 5.00001301e+00  6.92570400e+00  5.00001301e+00  1.08844311e+01 
 5.00001876e+00  6.92519939e+00  5.00001876e+00  1.08912795e+01 
 5.00002979e+00  6.91997764e+00  5.00002979e+00  1.08850012e+01 
 5.00003257e+00  6.91760525e+00  5.00003257e+00  1.08906084e+01 
 5.00003425e+00  6.91594780e+00  5.00003425e+00  1.08853692e+01 
 5.00003468e+00  6.91552024e+00  5.00003468e+00  1.08888960e+01 
 5.00003488e+00  6.91534240e+00  5.00003488e+00  1.08877486e+01 
 5.00003499e+00  6.91524261e+00  5.00003499e+00  1.08878201e+01 
 5.00003507e+00  6.91517195e+00  5.00003507e+00  1.08878622e+01 
 5.00003517e+00  6.91508342e+00  5.00003517e+00  1.08878413e+01 
 5.00003526e+00  6.91499598e+00  5.00003526e+00  1.08878585e+01 
 5.00003538e+00  6.91488259e+00  5.00003538e+00  1.08878441e+01 
 5.00003554e+00  6.91473780e+00  5.00003554e+00  1.08878557e+01 
 5.00003568e+00  6.91460072e+00  5.00003568e+00  1.08878448e+01 
 5.00003596e+00  6.91433865e+00  5.00003596e+00  1.08878533e+01 
 5.00003642e+00  6.91390566e+00  5.00003642e+00  1.08878431e+01 
 5.00003690e+00  6.91345338e+00  5.00003690e+00  1.08878499e+01 
 5.00003786e+00  6.91254889e+00  5.00003786e+00  1.08878387e+01 
 5.00003978e+00  6.91073982e+00  5.00003978e+00  1.08878400e+01 
 5.00004362e+00  6.90712183e+00  5.00004362e+00  1.08878173e+01 
 5.00005130e+00  6.89988764e+00  5.00005130e+00  1.08877887e+01 
 5.00006665e+00  6.88543420e+00  5.00006665e+00  1.08876690e+01 
 5.00008859e+00  6.86483669e+00  5.00008859e+00  1.08873589e+01 
 5.00011210e+00  6.84285153e+00  5.00011210e+00  1.08865774e+01 
 5.00013850e+00  6.81826987e+00  5.00013850e+00  1.08844568e+01 
 5.00016335e+00  6.79524046e+00  5.00016335e+00  1.08794950e+01 
 5.00018713e+00  6.77329832e+00  5.00018713e+00  1.08680109e+01 
 5.00021320e+00  6.74936501e+00  5.00021320e+00  1.07921693e+01 
