 5.00017077e+00 -6.77661729e+00  5.00017077e+00  6.77873545e+00 
 5.00043456e+00 -6.53964150e+00  5.00043456e+00  6.54171109e+00 
 5.00061438e+00 -6.38459474e+00  5.00061438e+00  6.38669253e+00 
 5.00082012e+00 -6.21377822e+00  5.00082012e+00  6.21582991e+00 
 5.00123159e+00 -5.89105310e+00  5.00123159e+00  5.89312501e+00 
 5.00174329e+00 -5.52340365e+00  5.00174329e+00  5.52541837e+00 
 5.00267932e+00 -4.93530730e+00  5.00267932e+00  4.93732846e+00 
 5.00387932e+00 -4.31851053e+00  5.00387932e+00  4.32046096e+00 
 5.00507932e+00 -3.82738855e+00  5.00507932e+00  3.82935075e+00 
 5.00627932e+00 -3.43668194e+00  5.00627932e+00  3.43858525e+00 
 5.00747932e+00 -3.12551900e+00  5.00747932e+00  3.12744381e+00 
 5.00762932e+00 -3.09203356e+00  5.00762932e+00  3.09393747e+00 
 5.00783989e+00 -3.04587330e+00  5.00783989e+00  3.04777492e+00 
 5.00799363e+00 -3.01331698e+00  5.00799363e+00  3.01521668e+00 
 5.00816724e+00 -2.97767595e+00  5.00816724e+00  2.97957390e+00 
 5.00825916e+00 -2.95931450e+00  5.00825916e+00  2.96121103e+00 
 5.00829692e+00 -2.95194720e+00  5.00829692e+00  2.95384229e+00 
 5.00831528e+00 -2.94847190e+00  5.00831528e+00  2.95036469e+00 
 5.00832483e+00 -2.94673022e+00  5.00832483e+00  2.94862062e+00 
 5.00833066e+00 -2.94572042e+00  5.00833066e+00  2.94760731e+00 
 5.00833545e+00 -2.94497347e+00  5.00833545e+00  2.94685268e+00 
 5.00834065e+00 -2.94443920e+00  5.00834065e+00  2.94629177e+00 
 5.00834461e+00 -2.94441314e+00  5.00834461e+00  2.94622921e+00 
 5.00834905e+00 -2.94499366e+00  5.00834905e+00  2.94675467e+00 
 5.00835794e+00 -2.94894519e+00  5.00835794e+00  2.95055058e+00 
 5.00836060e+00 -2.95097474e+00  5.00836060e+00  2.95252262e+00 
 5.00836208e+00 -2.95234814e+00  5.00836208e+00  2.95384629e+00 
 5.00836284e+00 -2.95315813e+00  5.00836284e+00  2.95461735e+00 
 5.00836311e+00 -2.95342391e+00  5.00836311e+00  2.95490788e+00 
 5.00836332e+00 -2.95360178e+00  5.00836332e+00  2.95511874e+00 
 5.00836346e+00 -2.95373184e+00  5.00836346e+00  2.95525090e+00 
 5.00836363e+00 -2.95389643e+00  5.00836363e+00  2.95540915e+00 
 5.00836379e+00 -2.95404863e+00  5.00836379e+00  2.95555837e+00 
 5.00836397e+00 -2.95421638e+00  5.00836397e+00  2.95572586e+00 
 5.00836426e+00 -2.95448820e+00  5.00836426e+00  2.95599805e+00 
 5.00836469e+00 -2.95489854e+00  5.00836469e+00  2.95640808e+00 
 5.00836533e+00 -2.95549760e+00  5.00836533e+00  2.95700719e+00 
 5.00836660e+00 -2.95669593e+00  5.00836660e+00  2.95820547e+00 
 5.00836914e+00 -2.95909256e+00  5.00836914e+00  2.96060208e+00 
 5.00837400e+00 -2.96366469e+00  5.00837400e+00  2.96517418e+00 
 5.00838370e+00 -2.97280552e+00  5.00838370e+00  2.97431512e+00 
 5.00840311e+00 -2.99106028e+00  5.00840311e+00  2.99257044e+00 
 5.00842709e+00 -3.01354756e+00  5.00842709e+00  3.01505874e+00 
 5.00845013e+00 -3.03506492e+00  5.00845013e+00  3.03657721e+00 
 5.00847962e+00 -3.06247584e+00  5.00847962e+00  3.06398960e+00 
 5.00851873e+00 -3.09858804e+00  5.00851873e+00  3.10010375e+00 
 5.00857750e+00 -3.15236096e+00  5.00857750e+00  3.15387960e+00 
 5.00867458e+00 -3.23989151e+00  5.00867458e+00  3.24141488e+00 
 5.00886876e+00 -3.41021155e+00  5.00886876e+00  3.41174417e+00 
 5.00925710e+00 -3.73272863e+00  5.00925710e+00  3.73427869e+00 
 5.01003379e+00 -4.31147803e+00  5.01003379e+00  4.31305932e+00 
 5.01123379e+00 -5.05536737e+00  5.01123379e+00  5.05698860e+00 
 5.01243379e+00 -5.64744961e+00  5.01243379e+00  5.64910258e+00 
 5.01363379e+00 -6.11870449e+00  5.01363379e+00  6.12038266e+00 
 5.01483379e+00 -6.49378934e+00  5.01483379e+00  6.49548758e+00 
 5.01603379e+00 -6.79232993e+00  5.01603379e+00  6.79404412e+00 
 5.01645997e+00 -6.88266368e+00  5.01645997e+00  6.88438271e+00 
 5.01663901e+00 -6.91797638e+00  5.01663901e+00  6.91969919e+00 
 5.01670344e+00 -6.89431685e+00  5.01670344e+00  6.89641429e+00 
 5.01672413e+00 -6.87480241e+00  5.01672413e+00  6.87691760e+00 
 5.01673452e+00 -6.86517879e+00  5.01673452e+00  6.86726667e+00 
 5.01673730e+00 -6.86248711e+00  5.01673730e+00  6.86462281e+00 
 5.01673842e+00 -6.86149288e+00  5.01673842e+00  6.86356418e+00 
 5.01673880e+00 -6.86113740e+00  5.01673880e+00  6.86323010e+00 
 5.01673903e+00 -6.86089795e+00  5.01673903e+00  6.86302284e+00 
 5.01673909e+00 -6.86083651e+00  5.01673909e+00  6.86295783e+00 
 5.01673918e+00 -6.86075927e+00  5.01673918e+00  6.86287319e+00 
 5.01673926e+00 -6.86068590e+00  5.01673926e+00  6.86279443e+00 
 5.01673934e+00 -6.86061161e+00  5.01673934e+00  6.86271701e+00 
 5.01673950e+00 -6.86046063e+00  5.01673950e+00  6.86256445e+00 
